"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","vacancy","employment_access_index","job_diversity_index","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","inverse.pct"
"Simsbury","4663",0.90454016298021,0.995310668229777,0.977725674091442,0.930955120828539,0.909530525891598,0.953605366126328,11569.5340016516,2429.67931848416,-0.0620936758606074,282.6,263.4,0.9920037
"Simsbury","4661.02",0.905799648506151,0.984711211778029,0.986409966024915,0.957701516360734,0.913176087840586,0.97407611693326,15249.9873909803,2319.64285319606,-0.0620936758606074,282.6,263.4,0.9920037
"Somers","5381",0.202219482120838,NA,NA,NA,NA,NA,NA,NA,-0.0116282869181773,251,256.9,0.9906501
"Somers","5382.02",0.803958529688973,0.988734261100066,0.97481776010603,0.924301075268817,0.92090395480226,0.972920696324952,6569.564897186,2251.55887171585,-0.0116282869181773,251,256.9,0.9906501
"Somers","5382.01",0.570858814145174,0.981029810298103,0.933875338753388,0.923021322732201,0.937417281149556,0.931347804139324,8194.82801942083,2204.39689583422,-0.0116282869181773,251,256.9,0.9906501
"South Windsor","4872.01",0.751468594667872,0.97213809812235,0.940642035130224,0.9054704595186,0.93210586881473,0.955993051534453,15973.2831914673,2205.85909685573,0.0233758387373544,275.6,258.6,0.9839745
"South Windsor","4874",0.705882352941177,0.964812712826334,0.987514188422247,0.92742551566081,0.976275738585497,0.929324894514768,19126.883723204,2101.34224992239,0.0233758387373544,275.6,258.6,0.9839745
"South Windsor","4872.02",0.833502538071066,1,0.984042553191489,0.943240901213172,1,1,13107.7374186219,2212.81469606374,0.0233758387373544,275.6,258.6,0.9839745
"South Windsor","4871",0.757021727609963,0.968588640275387,0.934595524956971,0.934912718204489,0.970010905125409,0.984328674290555,12894.3130616466,2113.92915172957,0.0233758387373544,275.6,258.6,0.9839745
"South Windsor","4875",0.822623473181094,0.97009735744089,0.974269819193324,0.954093343534813,0.839097303634232,0.961229946524064,21987.6036691368,2140.46641123158,0.0233758387373544,275.6,258.6,0.9839745
"South Windsor","4873",0.665254237288136,0.980916030534351,0.980916030534351,0.944020356234097,0.92090395480226,0.877721943048576,19905.7274811516,2174.02744207294,0.0233758387373544,275.6,258.6,0.9839745
"Southbury","3481.25",0.800681431005111,0.960987261146497,0.957006369426752,0.906555090655509,0.862700228832952,0.91511839708561,10954.8931727009,2589.69702778713,-0.0357672109962537,277.7,256.9,0.9890474
"Southbury","3481.24",0.85518102372035,0.912786400591279,0.951958610495196,0.952449567723343,0.7282861124013,0.912955465587045,11469.3756282837,2598.15733695271,-0.0357672109962537,277.7,256.9,0.9890474
"Southbury","3481.22",0.82512315270936,0.983205038488453,0.966410076976907,0.945439739413681,0.922447123038435,0.987560469937802,9270.38626532284,2288.29971748819,-0.0357672109962537,277.7,256.9,0.9890474
"Southbury","3481.11",0.652631578947368,0.945754716981132,0.964622641509434,0.910324039186134,0.903917525773196,0.925764192139738,7734.81762,2254.72610146465,-0.0357672109962537,277.7,256.9,0.9890474
"Southbury","3481.23",0.727097396335583,0.974468085106383,0.923404255319149,0.953855494839101,0.966576332429991,0.922020598332516,9696.7031484582,2053.66486279045,-0.0357672109962537,277.7,256.9,0.9890474
"Southington","4303.01",0.791231732776618,1,0.990430622009569,0.950570342205323,0.958605046781968,0.974358974358974,13415.1381699749,2187.96275709273,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4304",0.66025641025641,0.924462231115558,0.910955477738869,0.915130434782609,0.793266269759803,0.92417938049006,14704.1269016358,2225.1234274199,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4305",0.730456026058632,0.988664987405542,0.994962216624685,0.931005350605463,0.954552702918195,0.979843685726039,14345.4213716046,2336.19569087638,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4302.02",0.763521515988946,0.977031802120141,0.969964664310954,0.965790421317969,0.996741344195519,0.9837775202781,15058.9570834228,2119.56172586166,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4302.03",0.690127077223851,0.976993044408775,0.972177635098983,0.941877794336811,0.935948948239187,0.963898916967509,15745.4916905016,2256.78072232279,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4303.02",0.737926136363636,0.965094339622641,0.967924528301887,0.972371967654987,0.894798136645963,0.973370064279155,14490.4424279944,2236.44557963449,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4306.01",0.643144424131627,0.884562528630325,0.934951901053596,0.923373122834039,0.866459627329193,0.984663960306721,17203.1321247336,2091.66510749646,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4302.01",0.707562136435748,0.975645756457565,0.950553505535055,0.933021806853583,0.841425937307929,0.945568736915562,18149.5382647405,2019.56842470992,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4301",0.758506616257089,0.9359410430839,0.919501133786848,0.904805914972274,0.63770325203252,0.935809018567639,17348.9355517927,2383.64347786778,-0.0360203876618729,281.5,255.6,0.9823075
"Southington","4306.02",0.68452935694315,0.921340629274966,0.948700410396717,0.904095386210472,0.877491363273983,0.994557823129252,17557.9612686577,2332.3013792692,-0.0360203876618729,281.5,255.6,0.9823075
"Sprague","7111",0.605322763306908,0.955201214882308,0.932422171602126,0.942965779467681,0.628561736770692,0.903912148249828,4910.03755759804,2515.41596664216,-0.119254175844581,254.5,247,0.988941
"Stafford","8901",0.519230769230769,0.866356769320163,0.864613596746078,0.918325883787078,0.625965611761774,0.922788203753351,5639.02257592105,2244.94696047483,-0.0347056279101523,258.5,248.9,0.9932159
"Stafford","8902.02",0.522263140274523,0.969017094017094,0.946581196581197,0.942671009771987,0.841715087156882,0.920806689621249,5893.48569628205,2343.91578461538,-0.0347056279101523,258.5,248.9,0.9932159
"Stamford","202",0.806770833333333,1,0.986917416189697,0.936052921719956,0.96103167928231,0.937164750957854,17063.9905456026,2127.6953171987,0.0686271917098558,256.5,239,0.9810099
"Stamford","224",0.87719298245614,0.973039215686274,1,0.913006756756757,0.884547069271758,0.931506849315068,35781.6587662724,1857.05608616487,0.0686271917098558,256.5,239,0.9810099
"Stamford","215",0.359174567763525,0.788035069623517,0.809695719443012,0.864134234444185,0.26498127340824,0.92908481073311,68886.6547237384,1961.14561348359,0.0686271917098558,256.5,239,0.9810099
