town,tract,tract,blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
Greenwich,102.02,09001010202,'090010102021',314,0.69937,0.39488,0.01635,0.08929,24018.39156,2087.77622,5.20794,88968.3274,81268,2.66,1.19674,62.33519,46.48869,63.83586,47.98937,36.11748,20.27099,15.84649,2.10916,23879.04297,41.43699,65014.4,2.66,1.19674,77.16093,58.01343,79.13421,59.98671,42.68655,23.53905,19.1475,2.02406,23311.39646,41.81383,121902,4,2,46.31491,31.15497,47.15285,31.99291,31.67563,16.5157,15.15994,2.77321,31947.76549,14.52144,56600,3,1,87.35112,66.58652,89.6692,68.90459,46.85295,26.08834,20.7646,1.96221,22557.84127,48.47267,11139,1,1,397.25747,337.72715,409.65152,350.1212,180.72613,121.1958,59.53033,1.13955,13541.95697,51.21787,61103.7594,1,1,76.30952,61.56647,78.56891,63.82586,36.83662,22.09357,14.74305,1.48264,16166.28704,48.34337,30551.8797,1,1,148.67208,123.13294,153.19086,127.65172,69.72627,44.18713,25.53914,1.34293,15097.59271,49.51394,65014.4,2,0,71.79218,57.93628,73.8426,59.98671,35.97001,22.11411,13.85589,1.50958,14994.67691,80.89419
Greenwich,102.02,09001010202,'090010102022',674,1.27638,1.08729,0.02258,0.13712,30370.26288,2134.58846,9.55668,47324.06015,81268,2.66,1.19674,51.59063,36.56621,57.66165,42.63724,34.27953,19.25512,15.02441,2.0122,21609.28532,77.60529,65014.4,2.66,1.19674,60.04571,41.91381,66.90008,48.76817,40.50098,22.36907,18.1319,1.92886,21043.45355,78.18988,121902,4,2,42.20668,27.72845,46.47114,31.99291,30.04685,15.56862,14.47823,2.6626,29174.07142,66.43956,56600,3,1,65.96966,46.34771,73.53021,53.90826,44.4113,24.78935,19.62195,1.86855,20271.66826,83.74366,11139,1,1,226.23292,171.04471,243.715,188.5268,176.384,121.1958,55.1882,1.06484,11809.68719,77.61936,61103.7594,1,1,61.43531,47.63694,70.39341,56.59504,35.89194,22.09357,13.79837,1.39444,14420.17464,73.16015,30551.8797,1,1,98.08512,74.2602,108.63179,84.80686,68.01206,44.18713,23.82492,1.26022,13357.11738,74.97605,65014.4,2,0,57.87321,44.9391,66.21666,53.28255,34.08248,21.14836,12.93411,1.42578,13225.15609,97.96715
Greenwich,102.02,09001010202,'090010102023',503,1.28378,1.23928,0.03942,0.18725,33277.71579,2098.74429,7.71475,62585.61644,81268,2.66,1.19674,50.47184,35.53707,53.47529,38.54052,37.40363,22.46886,14.93477,2.00277,22086.42191,46.15373,65014.4,2.66,1.19674,58.76152,40.73844,62.12901,44.10594,44.10934,26.08627,18.02307,1.91978,21524.49663,46.74063,121902,4,2,41.62758,27.11009,43.62714,29.10965,32.92737,18.40988,14.51749,2.68033,29891.26542,24.87814,56600,3,1,64.46684,45.02901,68.19768,48.75985,48.23372,28.79589,19.43783,1.85317,20695.27372,52.05505,11139,1,1,274.54089,219.74268,297.18981,242.3916,175.99401,121.1958,54.79821,1.05045,12254.68478,56.33047,61103.7594,1,1,59.79201,46.10798,64.8632,51.17917,37.72694,24.04291,13.68403,1.3774,14835.37378,51.85367,30551.8797,1,1,103.75268,80.11663,112.01032,88.37427,67.82318,44.18713,23.63605,1.24426,13784.45121,53.67674,65014.4,2,0,56.19601,43.65131,60.66629,48.1216,36.7455,24.20081,12.54469,1.37571,13338.08253,76.84955
Greenwich,102.02,09001010202,'090010102024',238,0.91491,0.40603,0.02047,0.12283,28233.44717,2168.84207,5.44516,48342.06897,81268,2.66,1.19674,46.6466,31.2584,46.36319,30.97498,48.61161,33.22341,15.3882,2.064,22635.02876,52.97868,65014.4,2.66,1.19674,54.7625,36.1849,53.99168,35.41408,60.10686,41.52926,18.5776,1.97926,22068.6141,53.44038,121902,4,2,37.9024,23.11596,38.04187,23.25543,36.93538,22.14894,14.78644,2.72045,30544.84614,29.60693,56600,3,1,60.39852,40.26268,59.32537,39.18953,67.83903,47.70318,20.13585,1.9181,21313.17619,61.19329,11139,1,1,216.68496,160.01014,204.80302,148.1282,299.06642,242.3916,56.67483,1.10231,12461.66489,57.11314,61103.7594,1,1,55.7595,41.58705,55.38449,41.21204,58.35958,44.18713,14.17244,1.4427,15076.59845,53.5913,30551.8797,1,1,89.50301,65.0405,86.13757,61.67506,112.83678,88.37427,24.46251,1.30409,14011.73062,55.02548,65014.4,2,0,52.74767,39.37847,52.43746,39.06826,54.89846,41.52926,13.3692,1.47291,13913.61891,90.3982
Greenwich,103,09001010300,'090010103001',247,0.97189,0.95197,0.04625,0.21583,37482.97223,2218.36366,7.85981,47786.79245,81268,2.66,1.19674,58.77562,43.77479,62.9902,47.98937,40.84126,25.84043,15.00083,2.01189,21058.26569,99.60829,65014.4,2.66,1.19674,68.87168,50.7669,73.21128,55.1065,50.40531,32.30054,18.10477,1.9288,20497.67688,100.09084,121902,4,2,44.29173,29.77353,46.51112,31.99291,34.84753,20.32933,14.51821,2.6698,28858.67488,86.36262,56600,3,1,75.99437,56.40457,80.53036,60.94056,56.69227,37.10247,19.5898,1.86882,19674.66873,107.65766,11139,1,1,330.3325,275.75724,350.83165,296.2564,243.10206,188.5268,54.57526,1.05843,11223.57116,94.97321,61103.7594,1,1,71.88677,58.22047,77.49216,63.82586,48.03407,34.36777,13.6663,1.38618,13794.06571,91.29241,30551.8797,1,1,124.12419,100.53915,131.59804,108.01299,92.32059,68.73554,23.58505,1.25271,12747.29458,92.79132,65014.4,2,0,67.50616,54.71849,72.77438,59.98671,45.08821,32.30054,12.78767,1.41751,12322.4013,125.88992
Greenwich,103,09001010300,'090010103002',390,1.3422,1.27692,0.06548,0.24229,39349.49871,2211.89591,7.25042,41925.73529,81268,2.66,1.19674,53.08487,38.4503,62.62394,47.98937,37.31621,22.68164,14.63457,1.9698,20300.39637,102.73776,65014.4,2.66,1.19674,64.03108,46.37958,76.15215,58.50065,43.99421,26.3427,17.65151,1.88718,19743.1131,103.34261,121902,4,2,40.95367,26.75326,46.19332,31.99291,32.2922,18.09179,14.20041,2.62524,27886.51144,87.91325,56600,3,1,70.42943,51.34977,83.78303,64.70338,48.35509,29.27544,19.07966,1.82609,18918.1522,111.60985,11139,1,1,200.923,148.11958,244.26912,191.4657,129.2692,76.46578,52.80342,1.02551,10697.67457,98.69944,61103.7594,1,1,62.25309,48.9732,77.10574,63.82586,37.70074,24.42086,13.27988,1.34965,13242.95469,94.08569,30551.8797,1,1,101.14566,78.26275,124.97526,102.09235,61.75386,38.87095,22.88291,1.21765,12206.45152,95.96452,65014.4,2,0,59.36894,46.95519,72.40046,59.98671,37.82704,25.41329,12.41375,1.37502,11781.55308,131.67108
Greenwich,103,09001010300,'090010103003',229,2.336,0.45547,0.03779,0.15315,33989.65675,2263.01932,11.1984,84746.10169,81268,2.66,1.19674,62.15487,47.34457,62.79967,47.98937,48.03371,33.22341,14.8103,1.97333,21915.31937,56.05684,65014.4,2.66,1.19674,77.04278,59.18071,77.84879,59.98671,59.39134,41.52926,17.86207,1.88909,21353.05829,56.91304,121902,4,2,45.91368,31.56304,46.34355,31.99291,36.49958,22.14894,14.35064,2.62466,29615.60217,45.26054,56600,3,1,87.30674,67.97877,88.23257,68.90459,67.03115,47.70318,19.32797,1.82244,20719.7985,61.55326,11139,1,1,398.79116,345.41685,403.49551,350.1212,295.76591,242.3916,53.37431,1.03593,11625.68678,60.73692,61103.7594,1,1,76.42826,62.96827,77.28585,63.82586,57.64712,44.18713,13.45999,1.3724,14208.93722,54.20588,30551.8797,1,1,149.09898,125.93655,150.81416,127.65172,111.5367,88.37427,23.16244,1.23538,13156.97156,56.86548,65014.4,2,0,71.80184,59.18071,72.60785,59.98671,54.1504,41.52926,12.62114,1.37696,13619.85322,73.8897
Greenwich,103,09001010300,'090010103004',174,0.46117,0.23306,0.02947,0.10046,37338.05667,2236.70708,15.3464,81617.64706,81268,2.66,1.19674,62.03676,46.07998,63.94615,47.98937,36.25998,20.30319,15.95678,2.08346,23619.22643,96.49873,65014.4,2.66,1.19674,76.8868,57.59997,79.27354,59.98671,44.66582,25.37899,19.28683,1.99855,23055.12514,96.76825,121902,4,2,46.07855,30.71998,47.35148,31.99291,28.89403,13.53546,15.35856,2.74212,32063.9617,94.84292,56600,3,1,87.12503,66.16303,89.8666,68.90459,50.11395,29.15194,20.962,1.94023,22389.47648,100.23675,11139,1,1,394.86203,336.19064,408.79258,350.1212,206.79959,148.1282,58.67139,1.11038,12709.59172,90.67229,61103.7594,1,1,75.84045,61.28637,78.37994,63.82586,41.55733,27.00325,14.55408,1.45204,15306.87911,88.61645,30551.8797,1,1,147.77841,122.57274,152.85739,127.65172,79.21216,54.0065,25.20567,1.31291,14249.19725,89.45364,65014.4,2,0,71.36423,57.59997,73.75097,59.98671,39.14325,25.37899,13.76426,1.49534,14479.66761,103.75094
Greenwich,103,09001010300,'090010103005',381,0.82336,0.68042,0.03215,0.16787,42864.9371,2146.72112,12.7331,42905.40541,81268,2.66,1.19674,60.1698,44.8889,63.27026,47.98937,48.5043,33.22341,15.28089,2.01631,21836.15773,111.53827,65014.4,2.66,1.19674,72.96467,54.51207,76.41525,57.96265,59.98187,41.52926,18.45261,1.93305,21272.67411,111.96516,121902,4,2,44.69817,29.92594,46.76515,31.99291,36.92118,22.14894,14.77224,2.67389,29804.2643,107.25483,56600,3,1,80.66042,60.65797,84.10356,64.10111,67.70563,47.70318,20.00245,1.87399,20521.50174,117.27259,11139,1,1,298.10154,242.3916,298.10154,242.3916,298.10154,242.3916,55.70994,1.05924,11619.057,104.39087,61103.7594,1,1,73.5912,59.70224,77.71481,63.82586,58.07609,44.18713,13.88895,1.38829,14211.63289,101.1346,30551.8797,1,1,122.37794,98.3643,125.0331,101.01946,112.38791,88.37427,24.01364,1.25429,13155.86967,102.46064,65014.4,2,0,69.15864,56.11113,73.03422,59.98671,54.57677,41.52926,13.04751,1.42427,13053.46408,124.46767
Greenwich,104,09001010400,'090010104001',342,2.55023,2.54606,0.067,0.33501,36554.84549,2181.29426,6.83029,53788.25911,81268,2.66,1.19674,52.12645,37.86677,52.12645,37.86677,37.94286,23.68317,14.25968,1.9294,20747.67514,45.55534,65014.4,2.66,1.19674,60.59544,43.40627,60.59544,43.40627,44.67369,27.48451,17.18918,1.84753,20190.63061,46.45577,121902,4,2,42.65814,28.67704,42.65814,28.67704,33.65479,19.67369,13.9811,2.61289,28236.10323,20.6918,56600,3,1,66.45985,48.00673,66.45985,48.00673,48.54422,30.09111,18.45312,1.77493,19309.08064,52.7042,11139,1,1,294.19039,242.3916,294.19039,242.3916,131.43952,79.64073,51.79879,0.99714,11398.02975,59.26368,61103.7594,1,1,63.17649,50.16287,63.17649,50.16287,38.59977,25.58615,13.01363,1.31559,13941.48873,52.39524,30551.8797,1,1,110.80288,88.37427,110.80288,88.37427,63.05612,40.62751,22.42862,1.18591,12905.72718,55.19225,65014.4,2,0,58.71251,47.01519,58.71251,47.01519,36.49863,24.80132,11.69732,1.28308,12233.77151,81.06145
Greenwich,104,09001010400,'090010104002',542,1.97932,1.97847,0.04015,0.24092,38092.20869,2167.4244,6.48045,40288.80309,81268,2.66,1.19674,58.64437,44.22997,62.40377,47.98937,42.22955,27.81515,14.4144,1.94634,20871.53685,54.27638,65014.4,2.66,1.19674,69.90673,52.52787,74.53929,57.16043,49.6794,32.30054,17.37886,1.86422,20309.76029,55.05222,121902,4,2,44.22606,30.15852,46.06045,31.99291,36.21648,22.14894,14.06754,2.62216,28371.00639,29.43668,56600,3,1,77.03529,58.33068,81.89708,63.19246,55.80709,37.10247,18.70462,1.79554,19456.37973,61.84595,11139,1,1,284.69527,232.35406,294.73281,242.3916,240.86801,188.5268,52.34121,1.00831,11395.09034,65.30699,61103.7594,1,1,71.48952,58.33644,76.97895,63.82586,47.52086,34.36777,13.15309,1.32862,13974.64497,59.38895,30551.8797,1,1,116.43673,93.76794,122.16977,99.50099,91.40433,68.73554,22.66879,1.19818,12924.18434,61.79893,65014.4,2,0,66.82945,54.82748,71.98868,59.98671,44.3025,32.30054,12.00197,1.31554,12405.69609,90.95655
