Year,Town,Industry,Units,Annual Average Employment,Total Annual Wages,Annual Average Wage
2009,Colebrook,Total - All Industries,22,176.3333333,4645030,26342.32514
2009,Columbia,Total - All Industries,132,1074.25,43421631,40420.41517
2009,Connecticut,Total - All Industries,111957,1615509.75,93279079888,57739.71955
2009,Cornwall,Total - All Industries,100,438.3333333,12601350,28748.327
2009,Coventry,Total - All Industries,186,1345.666667,44382489,32981.78524
2009,Cromwell,Total - All Industries,417,6633.916667,246297403,37126.99682
2009,Danbury,Total - All Industries,2519,40891.33333,2317338452,56670.65031
2009,Darien,Total - All Industries,971,7108,454904981,63999.01252
2009,Deep River,Total - All Industries,149,1297.583333,52502260,40461.57087
2009,Derby,Total - All Industries,316,4928.5,173789469,35262.14244
2009,Durham,Total - All Industries,189,1760,74210165,42164.86648
2009,East Granby,Total - All Industries,214,3493.583333,190647903,54570.87603
2009,East Haddam,Total - All Industries,172,1376.083333,49158257,35723.314
2009,East Hampton,Total - All Industries,221,1946.583333,70300671,36114.90441
2009,East Hartford,Total - All Industries,1171,28848.61111,1816652995,62971.93955
2009,East Haven,Total - All Industries,547,6438.861111,237638410,36906.90107
2009,East Lyme,Total - All Industries,495,5429.916667,222172791,40916.42739
2009,East Windsor,Total - All Industries,434,6793.083333,266759534,39269.28626
2009,Eastford,Total - All Industries,44,483.8333333,21167038,43748.61454
2009,Easton,Total - All Industries,203,896.3333333,42632572,47563.30086
2009,Ellington,Total - All Industries,314,2734.666667,105559521,38600.50744
2009,Enfield,Total - All Industries,970,18932.5,870205719,45963.59271
2009,Essex,Total - All Industries,376,3497.583333,169330485,48413.56699
2009,Fairfield,Total - All Industries,2284,22982.33333,1358332085,59103.31494
2009,Farmington,Total - All Industries,1257,31387.58333,1768762188,56352.28967
2009,Franklin,Total - All Industries,104,1029.833333,56174283,54546.9652
2009,Glastonbury,Total - All Industries,1332,15202.75,779782852,51292.22358
2009,Goshen,Total - All Industries,91,368.5833333,12034448,32650.5485
2009,Granby,Total - All Industries,271,2250.166667,77504358,34443.82994
2009,Greenwich,Total - All Industries,4028,35192.25,4537827445,128943.9421
2009,Griswold,Total - All Industries,180,1696.083333,53254330,31398.41596
2009,Groton,Total - All Industries,1019,25286.58333,1697620770,67135.2372
2009,Guilford,Total - All Industries,772,6532.916667,288068503,44094.92998
2009,Haddam,Total - All Industries,181,1203.5,42571793,35373.32198
2009,Hamden,Total - All Industries,1519,20028.41667,844803315,42180.23467
2009,Hampton,Total - All Industries,28,158.75,4464581,28123.34488
2009,Hartford,Total - All Industries,3441,108005.1667,7801637777,72233.93119
2009,Hartland,Total - All Industries,44,153,5220658,34121.94771
2009,Harwinton,Total - All Industries,122,557.8333333,24010585,43042.57843
2009,Hebron,Total - All Industries,194,1755.666667,57667117,32846.27891
2009,Kent,Total - All Industries,164,1081.916667,36282925,33535.78526
2009,Killingly,Total - All Industries,481,8445.083333,355009184,42037.3808
2009,Killingworth,Total - All Industries,148,703.8333333,30779062,43730.61141
2009,Lebanon,Total - All Industries,120,1229.083333,41590648,33838.75354
2009,Ledyard,Total - All Industries,246,14040.5,506885004,36101.63484
2009,Lisbon,Total - All Industries,89,1604.916667,38041726,23703.24067
2009,Litchfield,Total - All Industries,401,3411,126831876,37183.19437
2009,Lyme,Total - All Industries,57,168,6818288,40585.04762
2009,Madison,Total - All Industries,642,4700.75,201551674,42876.4929
2009,Manchester,Total - All Industries,1614,27501.25,1142951951,41560.00004
2009,Mansfield,Total - All Industries,345,11091.86111,553113326,49866.59321
2009,Marlborough,Total - All Industries,153,1125.75,41695696,37038.14879
2009,Meriden,Total - All Industries,1339,21603.16667,985059026,45597.89966
2009,Middlebury,Total - All Industries,262,3321.333333,181542462,54659.51285
2009,Middlefield,Total - All Industries,136,1645.916667,76746153,46628.21305
2009,Middletown,Total - All Industries,1250,28770.91667,1763039641,61278.53559
2009,Milford,Total - All Industries,1924,27785.05556,1319657004,47495.2084
2009,Monroe,Total - All Industries,591,5152.833333,205881916,39955.0893
2009,Montville,Total - All Industries,343,14855,541856799,36476.39172
2009,Morris,Total - All Industries,83,400.0833333,11653686,29128.14664
2009,Naugatuck,Total - All Industries,548,7244.833333,294385513,40633.85581
2009,New Britain,Total - All Industries,1136,24863.16667,1238239981,49802.18319
2009,New Canaan,Total - All Industries,918,6332.75,411471403,64975.15345
2009,New Fairfield,Total - All Industries,252,1630.75,77301236,47402.26031
2009,New Hartford,Total - All Industries,170,1386.25,48422775,34930.76646
2009,New Haven,Total - All Industries,3023,76686.41667,4436513436,57852.66321
