"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","vacancy","employment_access_index","job_diversity_index","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","inverse.pct","index"
"Branford","1847",0.383402912009152,0.409987768295177,0.127607462405324,-0.124624227149406,0.491146601327044,0.696086525027597,-0.481082096394423,-0.0573626194639734,-0.00529641992142025,0.34721922834492,0.203772654711112,-0.300511368831324,0.140862201696648
"Branford","1845",0.374543608040144,0.511315513302372,0.567635867125291,-0.0127086213086314,0.873989678771488,0.751188703152796,-0.538869659769775,-0.232313000028204,-0.00529641992142025,0.34721922834492,0.203772654711112,-0.300511368831324,0.211663848632397
"Bridgeport","2572",-1.47000242233034,-0.512410444326634,-0.0467084138282311,-0.332269933844706,-1.5322852761229,-0.860666824458061,0.696235873295045,0.517397942220963,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-0.703913494046678
"Bridgeport","743",-1.44582551548237,-2.4303751362935,-1.69728146904332,-2.61232550048331,-1.54885113593493,-1.46407073688602,0.644154267526972,0.125147853938775,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-1.27797331681858
"Bridgeport","706",-1.77135606428668,-2.00360499479015,-2.75300400984612,-1.891658296358,-2.07167502246741,-0.0380042031908747,0.862738098825625,0.513415418382548,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-1.17161679190803
"Bridgeport","725",-0.593364204097808,0.301225624962716,0.0365671441832977,0.0237383955554333,0.41809977420519,0.567709617780552,0.280801540531389,0.802388645485259,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-0.255757157546603
"Bridgeport","701",0.526822401125077,0.362319954198614,0.263196451772141,0.391084208192273,-1.00243340776787,-0.257171106724736,0.16506123468939,-0.0961365876442557,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-0.379459106777053
"Bridgeport","727",-0.562405498603613,0.520528745262515,0.692333396029573,0.373600230518572,0.14629631803202,0.388414577282237,0.266977258162696,0.504814892201814,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-0.214641042523288
"Bridgeport","714",-2.24371162105894,-0.794343483357005,-0.844121428500724,-0.100518542022677,-1.70538560037308,-1.20560776408567,0.975213784700414,0.618944171639505,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-0.850481909351954
"Bridgeport","739",-2.38112353169076,-2.68616086319436,-2.47635411942686,-0.723510045579729,-1.62195479422728,-1.16383171117883,1.03515963477318,0.683436896020862,-0.28613776555267,-1.81291494309602,-1.7744072091069,-1.03279251140967,-1.18671591363909
